Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Horário_Brasília,Horário_UTC,Data,Velocidade_Vento_resultante_m/s,Temperatura_C,Temperatura_K
PETROBRAS XXXIII,972.0,348.1217818217054,Outono,03:00,06:00,2010-03-21,7.390755020303065,23.831526536674783,296.9815265366748
PETROBRAS XXXIII,973.0,341.4580227775862,Outono,03:00,06:00,2010-03-21,7.380634954864654,23.90557180217872,297.0555718021787
PETROBRAS XXXIII,974.0,332.5730107187606,Outono,03:00,06:00,2010-03-21,7.366810645901405,24.00436822817313,297.1543682281731
PETROBRAS XXXIII,975.0,324.13224926287626,Outono,03:00,06:00,2010-03-21,7.353370669769068,24.098237963127144,297.2482379631272
PETROBRAS XXXIII,976.0,315.6914878069919,Outono,03:00,06:00,2010-03-21,7.339690060980271,24.19204815710995,297.3420481571099
PETROBRAS XXXIII,977.0,306.8064757481663,Outono,03:00,06:00,2010-03-21,7.325105859417678,24.29065655898481,297.4406565589848
PETROBRAS XXXIII,978.0,298.365714292282,Outono,03:00,06:00,2010-03-21,7.311141036481398,24.384131520698627,297.53413152069857
PETROBRAS XXXIII,979.0,289.92495283639767,Outono,03:00,06:00,2010-03-21,7.297132632054091,24.47733079111463,297.62733079111456
PETROBRAS XXXIII,980.0,281.0399407775721,Outono,03:00,06:00,2010-03-21,7.282410804730364,24.57506858889114,297.7250685888911
PETROBRAS XXXIII,981.0,272.59917932168776,Outono,03:00,06:00,2010-03-21,7.26851228848644,24.6675003263849,297.81750032638485
PETROBRAS XXXIII,982.0,264.1584178658034,Outono,03:00,06:00,2010-03-21,7.254767241916925,24.759440222254227,297.9094402222542
PETROBRAS XXXIII,983.0,255.27340580697785,Outono,03:00,06:00,2010-03-21,7.240530055670277,24.85562483595359,298.0056248359536
PETROBRAS XXXIII,984.0,246.83264435109356,Outono,03:00,06:00,2010-03-21,7.227288999615009,24.946364898247435,298.0963648982474
PETROBRAS XXXIII,985.0,238.3918828952092,Outono,03:00,06:00,2010-03-21,7.214398464399586,25.03639696859023,298.1863969685902
PETROBRAS XXXIII,986.0,229.5068708363836,Outono,03:00,06:00,2010-03-21,7.201268186068228,25.13034581823364,298.2803458182336
PETROBRAS XXXIII,987.0,221.06610938049928,Outono,03:00,06:00,2010-03-21,7.189275743697923,25.218745754347715,298.3687457543477
PETROBRAS XXXIII,988.0,212.6253479246149,Outono,03:00,06:00,2010-03-21,7.177830873332892,25.30622154818412,298.4562215481841
PETROBRAS XXXIII,989.0,204.1845864687306,Outono,03:00,06:00,2010-03-21,7.166977018518742,25.39273670050287,298.54273670050287
PETROBRAS XXXIII,990.0,195.7438250128463,Outono,03:00,06:00,2010-03-21,7.156799838197562,25.47818609481271,298.6281860948127
PETROBRAS XXXIII,991.0,186.85881295402064,Outono,03:00,06:00,2010-03-21,7.146869042547657,25.56693447909738,298.7169344790974
PETROBRAS XXXIII,992.0,178.41805149813635,Outono,03:00,06:00,2010-03-21,7.13824226237786,25.650036207062797,298.8000362070628
PETROBRAS XXXIII,993.0,169.97729004225204,Outono,03:00,06:00,2010-03-21,7.130489207866471,25.73185602669269,298.8818560266926
PETROBRAS XXXIII,994.0,161.5365285863677,Outono,03:00,06:00,2010-03-21,7.123642075881398,25.812369775507687,298.9623697755076
PETROBRAS XXXIII,995.0,153.09576713048335,Outono,03:00,06:00,2010-03-21,7.117797772042432,25.891460000255933,299.0414600002559
PETROBRAS XXXIII,996.0,144.65500567459904,Outono,03:00,06:00,2010-03-21,7.112984041407557,25.96910742175912,299.1191074217591
PETROBRAS XXXIII,997.0,136.21424421871473,Outono,03:00,06:00,2010-03-21,7.109302241406487,26.045189703464317,299.1951897034643
PETROBRAS XXXIII,998.0,127.7734827628304,Outono,03:00,06:00,2010-03-21,7.106775665287287,26.119692449494305,299.26969244949424
PETROBRAS XXXIII,999.0,119.33272130694608,Outono,03:00,06:00,2010-03-21,7.10551012228959,26.192488439995067,299.342488439995
PETROBRAS XXXIII,1000.0,112.66896226282688,Outono,03:00,06:00,2010-03-21,7.10537265044772,26.248802444153192,299.39880244415315
PETROBRAS XXXIII,972.0,348.1217818217054,Outono,09:00,12:00,2010-03-21,8.765968075089603,24.149561403605965,297.29956140360594
