Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Horário_Brasília,Horário_UTC,Data,Velocidade_Vento_resultante_m/s,Temperatura_C,Temperatura_K
PETROBRAS XXXIII,972.0,348.1217818217054,Primavera,03:00,06:00,2010-09-23,14.983499319178785,18.92548858335407,292.07548858335406
PETROBRAS XXXIII,973.0,341.4580227775862,Primavera,03:00,06:00,2010-09-23,14.92537884577197,18.963195612733976,292.11319561273393
PETROBRAS XXXIII,974.0,332.5730107187606,Primavera,03:00,06:00,2010-09-23,14.84819102104139,19.015074997838457,292.1650749978384
PETROBRAS XXXIII,975.0,324.13224926287626,Primavera,03:00,06:00,2010-09-23,14.77541724005184,19.066200504844087,292.2162005048441
PETROBRAS XXXIII,976.0,315.6914878069919,Primavera,03:00,06:00,2010-09-23,14.703447351885703,19.11925007223152,292.2692500722315
PETROBRAS XXXIII,977.0,306.8064757481663,Primavera,03:00,06:00,2010-09-23,14.62879813607116,19.17720543748906,292.327205437489
PETROBRAS XXXIII,978.0,298.365714292282,Primavera,03:00,06:00,2010-09-23,14.55917736373116,19.23435288025933,292.3843528802593
PETROBRAS XXXIII,979.0,289.92495283639767,Primavera,03:00,06:00,2010-09-23,14.491101814393875,19.29367413803063,292.4436741380306
PETROBRAS XXXIII,980.0,281.0399407775721,Primavera,03:00,06:00,2010-09-23,14.42133225016687,19.358494182238807,292.5084941822388
PETROBRAS XXXIII,981.0,272.59917932168776,Primavera,03:00,06:00,2010-09-23,14.357088477014337,19.422412824631405,292.5724128246314
PETROBRAS XXXIII,982.0,264.1584178658034,Primavera,03:00,06:00,2010-09-23,14.295131257043831,19.488755036644267,292.6387550366443
PETROBRAS XXXIII,983.0,255.27340580697785,Primavera,03:00,06:00,2010-09-23,14.232582387075862,19.56122845860064,292.71122845860066
PETROBRAS XXXIII,984.0,246.83264435109356,Primavera,03:00,06:00,2010-09-23,14.175939603648724,19.63266756447325,292.78266756447323
PETROBRAS XXXIII,985.0,238.3918828952092,Primavera,03:00,06:00,2010-09-23,14.122324703582924,19.706779994585357,292.85677999458534
PETROBRAS XXXIII,986.0,229.5068708363836,Primavera,03:00,06:00,2010-09-23,14.069337570545494,19.787695493087487,292.93769549308746
PETROBRAS XXXIII,987.0,221.06610938049928,Primavera,03:00,06:00,2010-09-23,14.022519767381675,19.8674043262978,293.01740432629776
PETROBRAS XXXIII,988.0,212.6253479246149,Primavera,03:00,06:00,2010-09-23,13.979471177758509,19.95003623836684,293.10003623836684
PETROBRAS XXXIII,989.0,204.1845864687306,Primavera,03:00,06:00,2010-09-23,13.940296304214648,20.03556942839307,293.185569428393
PETROBRAS XXXIII,990.0,195.7438250128463,Primavera,03:00,06:00,2010-09-23,13.905376343294426,20.12418932961475,293.2741893296147
PETROBRAS XXXIII,991.0,186.85881295402064,Primavera,03:00,06:00,2010-09-23,13.873359703317927,20.22081099450167,293.37081099450165
PETROBRAS XXXIII,992.0,178.41805149813635,Primavera,03:00,06:00,2010-09-23,13.8476908978243,20.315854072733494,293.46585407273346
PETROBRAS XXXIII,993.0,169.97729004225204,Primavera,03:00,06:00,2010-09-23,13.82701833513362,20.41423361678001,293.56423361678
PETROBRAS XXXIII,994.0,161.5365285863677,Primavera,03:00,06:00,2010-09-23,13.811404206430684,20.51591357101706,293.66591357101703
PETROBRAS XXXIII,995.0,153.09576713048335,Primavera,03:00,06:00,2010-09-23,13.801272019613696,20.62109362340553,293.77109362340553
