,Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Data,Horário_Brasília,Horário_UTC,Velocidade_Vento_u_m/s,Velocidade_Vento_v_m/s,Velocidade_Vento_resultante_m/s,Temperatura_K,Temperatura_C
0,PETROBRAS IX,900,998.5046645277396,Verão,2010-01-01,03:00,06:00,-0.4273681640625,-10.97955322265625,10.98786735534668,294.56121826171875,21.411218261718773
1,PETROBRAS IX,900,998.5046645277396,Verão,2010-01-01,09:00,12:00,-1.915771484375,-12.687759399414062,12.831579208374023,294.96484375,21.814843750000023
2,PETROBRAS IX,900,998.5046645277396,Verão,2010-01-01,15:00,18:00,-3.3034210205078125,-14.191802978515623,14.571199417114258,295.63134765625,22.481347656250023
3,PETROBRAS IX,900,998.5046645277396,Verão,2010-01-01,21:00,00:00,2.4983367919921875,-8.554168701171875,8.911537170410156,294.134033203125,20.984033203125023
4,PETROBRAS IX,925,767.6812157942453,Verão,2010-01-01,03:00,06:00,-0.7991180419921875,-10.347320556640623,10.378131866455078,295.7984619140625,22.648461914062523
5,PETROBRAS IX,925,767.6812157942453,Verão,2010-01-01,09:00,12:00,-2.923095703125,-14.015579223632812,14.317155838012695,296.2079467773437,23.057946777343773
6,PETROBRAS IX,925,767.6812157942453,Verão,2010-01-01,15:00,18:00,-4.85284423828125,-15.625076293945312,16.361330032348633,296.88232421875,23.732324218750023
7,PETROBRAS IX,925,767.6812157942453,Verão,2010-01-01,21:00,00:00,2.30389404296875,-9.5709228515625,9.84431266784668,295.360595703125,22.210595703125023
8,PETROBRAS IX,950,543.0137986523401,Verão,2010-01-01,03:00,06:00,-0.9319305419921876,-11.826370239257812,11.863032341003418,297.14794921875,23.997949218750023
9,PETROBRAS IX,950,543.0137986523401,Verão,2010-01-01,09:00,12:00,-4.19793701171875,-16.194625854492188,16.72987174987793,297.15057373046875,24.000573730468773
10,PETROBRAS IX,950,543.0137986523401,Verão,2010-01-01,15:00,18:00,-6.624542236328125,-17.14373779296875,18.379127502441406,297.971923828125,24.821923828125023
11,PETROBRAS IX,950,543.0137986523401,Verão,2010-01-01,21:00,00:00,1.09283447265625,-12.100601196289062,12.14984893798828,296.9442138671875,23.794213867187523
12,PETROBRAS IX,975,324.1825638416764,Verão,2010-01-01,03:00,06:00,-1.9892425537109373,-14.373123168945312,14.510126113891602,298.20135498046875,25.051354980468773
13,PETROBRAS IX,975,324.1825638416764,Verão,2010-01-01,09:00,12:00,-6.0335235595703125,-16.441925048828125,17.51400375366211,297.095947265625,23.945947265625023
14,PETROBRAS IX,975,324.1825638416764,Verão,2010-01-01,15:00,18:00,-8.493545532226562,-16.408111572265625,18.476104736328125,297.9261474609375,24.776147460937523
15,PETROBRAS IX,975,324.1825638416764,Verão,2010-01-01,21:00,00:00,-1.1254119873046875,-13.866851806640623,13.912445068359377,297.9310913085937,24.781091308593773
16,PETROBRAS IX,1000,110.89195985106176,Verão,2010-01-01,03:00,06:00,-3.359283447265625,-11.690872192382812,12.163933753967283,298.0940246582031,24.944024658203148
17,PETROBRAS IX,1000,110.89195985106176,Verão,2010-01-01,09:00,12:00,-5.740982055664063,-12.932632446289062,14.14962387084961,298.0809936523437,24.930993652343773
18,PETROBRAS IX,1000,110.89195985106176,Verão,2010-01-01,15:00,18:00,-7.8276519775390625,-12.697265625,14.916189193725586,298.708740234375,25.558740234375023
19,PETROBRAS IX,1000,110.89195985106176,Verão,2010-01-01,21:00,00:00,-1.995758056640625,-10.931472778320312,11.112162590026855,298.50537109375,25.355371093750023
