,Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Data,Horário_Brasília,Horário_UTC,Velocidade_Vento_u_m/s,Velocidade_Vento_v_m/s,Velocidade_Vento_resultante_m/s,Temperatura_K,Temperatura_C
0,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-01,03:00,06:00,0.7288818359375,-11.40533447265625,11.428600311279297,294.66473388671875,21.514733886718773
1,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-01,09:00,12:00,-2.511474609375,-14.103775024414062,14.325640678405762,293.79296875,20.642968750000023
2,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-01,15:00,18:00,-5.1413116455078125,-13.539459228515623,14.482749938964844,294.87744140625,21.727441406250023
3,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-01,21:00,00:00,2.3206024169921875,-11.183074951171877,11.42131233215332,295.606689453125,22.456689453125023
4,PETROBRAS XXXIII,925,767.6812157942453,Verão,2010-01-01,03:00,06:00,0.3668975830078125,-14.027008056640623,14.031805992126465,295.8785400390625,22.728540039062523
5,PETROBRAS XXXIII,925,767.6812157942453,Verão,2010-01-01,09:00,12:00,-3.794189453125,-15.601516723632812,16.056251525878906,294.4970092773437,21.347009277343773
6,PETROBRAS XXXIII,925,767.6812157942453,Verão,2010-01-01,15:00,18:00,-5.28839111328125,-15.263748168945312,16.153919219970703,296.00927734375,22.859277343750023
7,PETROBRAS XXXIII,925,767.6812157942453,Verão,2010-01-01,21:00,00:00,1.08123779296875,-14.2662353515625,14.30714988708496,296.626220703125,23.476220703125023
8,PETROBRAS XXXIII,950,543.0137986523401,Verão,2010-01-01,03:00,06:00,-1.1799774169921875,-16.656448364257812,16.698192596435547,296.58935546875,23.439355468750023
9,PETROBRAS XXXIII,950,543.0137986523401,Verão,2010-01-01,09:00,12:00,-5.14129638671875,-15.973922729492188,16.780916213989258,295.35760498046875,22.207604980468773
10,PETROBRAS XXXIII,950,543.0137986523401,Verão,2010-01-01,15:00,18:00,-6.015167236328125,-14.92694091796875,16.093345642089844,296.421142578125,23.271142578125023
11,PETROBRAS XXXIII,950,543.0137986523401,Verão,2010-01-01,21:00,00:00,-1.09466552734375,-17.243179321289062,17.277891159057617,297.3602294921875,24.210229492187523
12,PETROBRAS XXXIII,975,324.1825638416764,Verão,2010-01-01,03:00,06:00,-3.327133178710937,-16.158279418945312,16.49726676940918,296.84197998046875,23.691979980468773
13,PETROBRAS XXXIII,975,324.1825638416764,Verão,2010-01-01,09:00,12:00,-5.8206329345703125,-14.956573486328123,16.04926300048828,296.908447265625,23.758447265625023
14,PETROBRAS XXXIII,975,324.1825638416764,Verão,2010-01-01,15:00,18:00,-6.2005767822265625,-12.919830322265623,14.330707550048828,297.4749755859375,24.324975585937523
15,PETROBRAS XXXIII,975,324.1825638416764,Verão,2010-01-01,21:00,00:00,-3.5726776123046875,-16.720367431640625,17.09779930114746,297.5053100585937,24.355310058593773
16,PETROBRAS XXXIII,1000,110.89195985106176,Verão,2010-01-01,03:00,06:00,-3.524322509765625,-13.304153442382812,13.763043403625488,298.6701965332031,25.520196533203148
17,PETROBRAS XXXIII,1000,110.89195985106176,Verão,2010-01-01,09:00,12:00,-5.362075805664063,-13.121109008789062,14.174461364746094,298.9520874023437,25.802087402343773
18,PETROBRAS XXXIII,1000,110.89195985106176,Verão,2010-01-01,15:00,18:00,-5.688980102539063,-10.7509765625,12.163387298583984,299.302490234375,26.152490234375023
19,PETROBRAS XXXIII,1000,110.89195985106176,Verão,2010-01-01,21:00,00:00,-3.779937744140625,-13.560379028320312,14.077351570129396,299.13818359375,25.988183593750023
20,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-02,03:00,06:00,-6.536666870117188,-11.7669677734375,13.46066665649414,292.9432373046875,19.793237304687523
21,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-02,09:00,12:00,-3.3399200439453125,-10.744522094726562,11.25165843963623,292.8515014648437,19.701501464843773
22,PETROBRAS XXXIII,900,998.5046645277396,Verão,2010-01-02,15:00,18:00,-3.139633178710937,-10.556854248046877,11.01383113861084,293.6693115234375,20.519311523437523
