Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Horário_Brasília,Horário_UTC,Data,Velocidade_Vento_resultante_m/s,Temperatura_C,Temperatura_K
PETROBRAS XXXIII,972.0,348.1217818217054,Inverno,03:00,06:00,2010-06-21,9.924783332049092,24.32394031537156,297.4739403153715
PETROBRAS XXXIII,973.0,341.4580227775862,Inverno,03:00,06:00,2010-06-21,9.966493153435149,24.336357095284647,297.48635709528463
PETROBRAS XXXIII,974.0,332.5730107187606,Inverno,03:00,06:00,2010-06-21,10.019590091898902,24.35013691572557,297.5001369157256
PETROBRAS XXXIII,975.0,324.13224926287626,Inverno,03:00,06:00,2010-06-21,10.067001092186617,24.36006205669291,297.5100620566929
PETROBRAS XXXIII,976.0,315.6914878069919,Inverno,03:00,06:00,2010-06-21,10.111084731355296,24.366699161668105,297.51669916166804
PETROBRAS XXXIII,977.0,306.8064757481663,Inverno,03:00,06:00,2010-06-21,10.153674213653687,24.370095710554917,297.52009571055487
PETROBRAS XXXIII,978.0,298.365714292282,Inverno,03:00,06:00,2010-06-21,10.190221917649003,24.36979283804047,297.5197928380405
PETROBRAS XXXIII,979.0,289.92495283639767,Inverno,03:00,06:00,2010-06-21,10.222561047589986,24.36583802402853,297.51583802402854
PETROBRAS XXXIII,980.0,281.0399407775721,Inverno,03:00,06:00,2010-06-21,10.25186029603259,24.35770212608112,297.5077021260811
PETROBRAS XXXIII,981.0,272.59917932168776,Inverno,03:00,06:00,2010-06-21,10.274901064929606,24.34607952356881,297.4960795235688
PETROBRAS XXXIII,982.0,264.1584178658034,Inverno,03:00,06:00,2010-06-21,10.29285204683699,24.330441074053645,297.4804410740536
PETROBRAS XXXIII,983.0,255.27340580697785,Inverno,03:00,06:00,2010-06-21,10.306078283733385,24.30962355399193,297.45962355399195
PETROBRAS XXXIII,984.0,246.83264435109356,Inverno,03:00,06:00,2010-06-21,10.3129684787262,24.28558950496566,297.4355895049656
PETROBRAS XXXIII,985.0,238.3918828952092,Inverno,03:00,06:00,2010-06-21,10.313887673794085,24.25717570343117,297.4071757034311
PETROBRAS XXXIII,986.0,229.5068708363836,Inverno,03:00,06:00,2010-06-21,10.308258121453845,24.22252738597504,297.37252738597505
PETROBRAS XXXIII,987.0,221.06610938049928,Inverno,03:00,06:00,2010-06-21,10.296354103736563,24.184990173918724,297.3349901739187
PETROBRAS XXXIII,988.0,212.6253479246149,Inverno,03:00,06:00,2010-06-21,10.27759787315905,24.142709303848815,297.2927093038488
PETROBRAS XXXIII,989.0,204.1845864687306,Inverno,03:00,06:00,2010-06-21,10.251946993968811,24.09573325045969,297.2457332504597
PETROBRAS XXXIII,990.0,195.7438250128463,Inverno,03:00,06:00,2010-06-21,10.218866555512452,24.04377511820863,297.1937751182086
PETROBRAS XXXIII,991.0,186.85881295402064,Inverno,03:00,06:00,2010-06-21,10.175912589629656,23.98370926699432,297.1337092669943
PETROBRAS XXXIII,992.0,178.41805149813635,Inverno,03:00,06:00,2010-06-21,10.127091819705756,23.92142307151402,297.071423071514
PETROBRAS XXXIII,993.0,169.97729004225204,Inverno,03:00,06:00,2010-06-21,10.06996027758044,23.85379089166643,297.0037908916664
PETROBRAS XXXIII,994.0,161.5365285863677,Inverno,03:00,06:00,2010-06-21,10.004525822650908,23.78088197202018,296.9308819720202
PETROBRAS XXXIII,995.0,153.09576713048335,Inverno,03:00,06:00,2010-06-21,9.930203249114072,23.70238864715829,296.85238864715825
PETROBRAS XXXIII,996.0,144.65500567459904,Inverno,03:00,06:00,2010-06-21,9.847020324863887,23.61838838305796,296.768388383058
PETROBRAS XXXIII,997.0,136.21424421871473,Inverno,03:00,06:00,2010-06-21,9.754371935600512,23.52856529289364,296.6785652928936
PETROBRAS XXXIII,998.0,127.7734827628304,Inverno,03:00,06:00,2010-06-21,9.65230575771466,23.433005064051105,296.58300506405106
PETROBRAS XXXIII,999.0,119.33272130694608,Inverno,03:00,06:00,2010-06-21,9.540196768409729,23.33138358829625,296.48138358829624
PETROBRAS XXXIII,1000.0,112.66896226282688,Inverno,03:00,06:00,2010-06-21,9.444959371646547,23.24712625772122,296.3971262577212
PETROBRAS XXXIII,972.0,348.1217818217054,Inverno,09:00,12:00,2010-06-21,6.4185972221634415,23.072601834099075,296.222601834099
