Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Horário_Brasília,Horário_UTC,Data,Velocidade_Vento_resultante_m/s,Temperatura_C,Temperatura_K
PETROBRAS XXXIII,972.0,348.1217818217054,Verão,03:00,06:00,2010-01-01,16.663289157357205,23.630321100412463,296.78032110041244
PETROBRAS XXXIII,973.0,341.4580227775862,Verão,03:00,06:00,2010-01-01,16.6201520870318,23.645762269707237,296.7957622697072
PETROBRAS XXXIII,974.0,332.5730107187606,Verão,03:00,06:00,2010-01-01,16.558932740643453,23.6683737757608,296.8183737757608
PETROBRAS XXXIII,975.0,324.13224926287626,Verão,03:00,06:00,2010-01-01,16.496739657114905,23.692220996840987,296.842220996841
PETROBRAS XXXIII,976.0,315.6914878069919,Verão,03:00,06:00,2010-01-01,16.430564954927497,23.718591237101617,296.8685912371016
PETROBRAS XXXIII,977.0,306.8064757481663,Verão,03:00,06:00,2010-01-01,16.356772075932238,23.749170172146087,296.89917017214606
PETROBRAS XXXIII,978.0,298.365714292282,Verão,03:00,06:00,2010-01-01,16.28279203265504,23.781052618632614,296.9310526186326
PETROBRAS XXXIII,979.0,289.92495283639767,Verão,03:00,06:00,2010-01-01,16.2049882669469,23.81592425216459,296.9659242521646
PETROBRAS XXXIII,980.0,281.0399407775721,Verão,03:00,06:00,2010-01-01,16.119120475011833,23.8559427252473,297.0059427252473
PETROBRAS XXXIII,981.0,272.59917932168776,Verão,03:00,06:00,2010-01-01,16.03382716066973,23.897258900735142,297.0472589007352
PETROBRAS XXXIII,982.0,264.1584178658034,Verão,03:00,06:00,2010-01-01,15.944868020124613,23.942030431133414,297.09203043113337
PETROBRAS XXXIII,983.0,255.27340580697785,Verão,03:00,06:00,2010-01-01,15.847423934916849,23.992960551301703,297.14296055130166
PETROBRAS XXXIII,984.0,246.83264435109356,Verão,03:00,06:00,2010-01-01,15.751291038193598,24.04510895938583,297.1951089593858
PETROBRAS XXXIII,985.0,238.3918828952092,Verão,03:00,06:00,2010-01-01,15.651650211495248,24.10117889024538,297.25117889024534
PETROBRAS XXXIII,986.0,229.5068708363836,Verão,03:00,06:00,2010-01-01,15.543128452681888,24.16449276654657,297.3144927665465
PETROBRAS XXXIII,987.0,221.06610938049928,Verão,03:00,06:00,2010-01-01,15.436629662261248,24.22887191082195,297.37887191082194
