,Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Data,Horário_Brasília,Horário_UTC,Velocidade_Vento_u_m/s,Velocidade_Vento_v_m/s,Velocidade_Vento_resultante_m/s,Temperatura_K,Temperatura_C
0,NAMORADO 2 (PNA-2),900,998.5046645277396,Verão,2010-01-01,03:00,06:00,-0.2398681640625,-10.79595947265625,10.798624038696287,294.62762451171875,21.477624511718773
1,NAMORADO 2 (PNA-2),900,998.5046645277396,Verão,2010-01-01,09:00,12:00,-1.925537109375,-13.465103149414062,13.602084159851074,294.716796875,21.566796875000023
2,NAMORADO 2 (PNA-2),900,998.5046645277396,Verão,2010-01-01,15:00,18:00,-3.922561645507813,-14.902740478515623,15.410326957702637,295.32275390625,22.172753906250023
3,NAMORADO 2 (PNA-2),900,998.5046645277396,Verão,2010-01-01,21:00,00:00,2.6897430419921875,-9.515106201171877,9.88797092437744,294.620361328125,21.470361328125023
4,NAMORADO 2 (PNA-2),925,767.6812157942453,Verão,2010-01-01,03:00,06:00,-0.2756805419921875,-11.316070556640623,11.319428443908691,295.9019775390625,22.751977539062523
5,NAMORADO 2 (PNA-2),925,767.6812157942453,Verão,2010-01-01,09:00,12:00,-3.022705078125,-15.689407348632812,15.977930068969728,295.8505249023437,22.700524902343773
6,NAMORADO 2 (PNA-2),925,767.6812157942453,Verão,2010-01-01,15:00,18:00,-5.40167236328125,-16.359451293945312,17.228166580200195,296.50732421875,23.357324218750023
7,NAMORADO 2 (PNA-2),925,767.6812157942453,Verão,2010-01-01,21:00,00:00,2.14373779296875,-11.8814697265625,12.073314666748049,295.981689453125,22.831689453125023
8,NAMORADO 2 (PNA-2),950,543.0137986523401,Verão,2010-01-01,03:00,06:00,-0.6975555419921875,-13.970901489257812,13.98830509185791,297.25732421875,24.107324218750023
9,NAMORADO 2 (PNA-2),950,543.0137986523401,Verão,2010-01-01,09:00,12:00,-4.74090576171875,-17.581344604492188,18.20933532714844,296.67401123046875,23.524011230468773
10,NAMORADO 2 (PNA-2),950,543.0137986523401,Verão,2010-01-01,15:00,18:00,-6.646026611328125,-17.31756591796875,18.54906463623047,297.579345703125,24.429345703125023
11,NAMORADO 2 (PNA-2),950,543.0137986523401,Verão,2010-01-01,21:00,00:00,0.28033447265625,-15.047866821289062,15.050477981567385,297.4090576171875,24.259057617187523
12,NAMORADO 2 (PNA-2),975,324.1825638416764,Verão,2010-01-01,03:00,06:00,-2.702133178710937,-15.789138793945312,16.01869010925293,297.65252685546875,24.502526855468773
13,NAMORADO 2 (PNA-2),975,324.1825638416764,Verão,2010-01-01,09:00,12:00,-6.3821563720703125,-16.228057861328125,17.43794059753418,296.799072265625,23.649072265625023
14,NAMORADO 2 (PNA-2),975,324.1825638416764,Verão,2010-01-01,15:00,18:00,-7.764053344726562,-15.515533447265623,17.349706649780273,297.7503662109375,24.600366210937523
15,NAMORADO 2 (PNA-2),975,324.1825638416764,Verão,2010-01-01,21:00,00:00,-2.3441619873046875,-16.293609619140625,16.46137237548828,297.9447631835937,24.794763183593773
