,Plataforma,Nível_de_Pressão_hPa,Altitude_m,Estação_do_Ano,Data,Horário_Brasília,Horário_UTC,Velocidade_Vento_u_m/s,Velocidade_Vento_v_m/s,Velocidade_Vento_resultante_m/s,Temperatura_K,Temperatura_C
0,VERMELHO 1 (PVM-1),900,998.5046645277396,Verão,2010-01-01,03:00,06:00,0.4300537109375,-10.91705322265625,10.92552089691162,294.80145263671875,21.651452636718773
1,VERMELHO 1 (PVM-1),900,998.5046645277396,Verão,2010-01-01,09:00,12:00,-2.345458984375,-13.896743774414062,14.093284606933594,294.474609375,21.324609375000023
2,VERMELHO 1 (PVM-1),900,998.5046645277396,Verão,2010-01-01,15:00,18:00,-4.8561553955078125,-14.228912353515623,15.03476619720459,295.02197265625,21.871972656250023
3,VERMELHO 1 (PVM-1),900,998.5046645277396,Verão,2010-01-01,21:00,00:00,2.7815399169921875,-10.239715576171877,10.610783576965332,295.354736328125,22.204736328125023
4,VERMELHO 1 (PVM-1),925,767.6812157942453,Verão,2010-01-01,03:00,06:00,0.1227569580078125,-12.673492431640623,12.674087524414062,296.0699462890625,22.919946289062523
5,VERMELHO 1 (PVM-1),925,767.6812157942453,Verão,2010-01-01,09:00,12:00,-3.628173828125,-15.988235473632812,16.39473533630371,295.3524780273437,22.202478027343773
6,VERMELHO 1 (PVM-1),925,767.6812157942453,Verão,2010-01-01,15:00,18:00,-5.66143798828125,-15.783279418945312,16.7679386138916,296.25341796875,23.103417968750023
7,VERMELHO 1 (PVM-1),925,767.6812157942453,Verão,2010-01-01,21:00,00:00,1.61639404296875,-12.9244384765625,13.025123596191406,296.491455078125,23.341455078125023
8,VERMELHO 1 (PVM-1),950,543.0137986523401,Verão,2010-01-01,03:00,06:00,-1.0452117919921875,-15.687698364257812,15.722478866577148,297.12646484375,23.976464843750023
9,VERMELHO 1 (PVM-1),950,543.0137986523401,Verão,2010-01-01,09:00,12:00,-5.12957763671875,-16.927047729492188,17.687211990356445,295.99041748046875,22.840417480468773
10,VERMELHO 1 (PVM-1),950,543.0137986523401,Verão,2010-01-01,15:00,18:00,-6.505401611328125,-16.20623779296875,17.463172912597656,297.083251953125,23.933251953125023
11,VERMELHO 1 (PVM-1),950,543.0137986523401,Verão,2010-01-01,21:00,00:00,-0.63372802734375,-16.323257446289062,16.335554122924805,297.4891357421875,24.339135742187523
12,VERMELHO 1 (PVM-1),975,324.1825638416764,Verão,2010-01-01,03:00,06:00,-3.451156616210937,-16.300857543945312,16.662185668945312,297.09783935546875,23.947839355468773
13,VERMELHO 1 (PVM-1),975,324.1825638416764,Verão,2010-01-01,09:00,12:00,-6.1809844970703125,-15.726104736328123,16.897186279296875,296.761962890625,23.611962890625023
14,VERMELHO 1 (PVM-1),975,324.1825638416764,Verão,2010-01-01,15:00,18:00,-7.0160064697265625,-14.146392822265623,15.790654182434082,297.5589599609375,24.408959960937523
